lambda,estimate,std.error,conf.high,conf.low,nzero,protein
9.70202451924854e-05,0.0305504759111139,6.24682030753247e-05,0.0306129441141893,0.0304880077080386,448,Pho4
8.84012340085855e-05,0.0305501204993426,6.24606954858318e-05,0.0306125811948284,0.0304876598038568,456,Pho4
8.05479120232731e-05,0.0305498416576796,6.24540712246315e-05,0.0306122957289042,0.030487387586455,458,Pho4
7.33922575184735e-05,0.0305496326125087,6.2448613545417e-05,0.0306120812260541,0.0304871839989633,464,Pho4
6.687229163807e-05,0.0305494773847793,6.24448355701225e-05,0.0306119222203494,0.0304870325492092,471,Pho4
6.09315415567027e-05,0.0305493650289904,6.24415032543707e-05,0.0306118065322447,0.030486923525736,482,Pho4
5.55185513391707e-05,0.0305492849363038,6.24394464853156e-05,0.0306117243827891,0.0304868454898185,491,Pho4
5.0586436253738e-05,0.0305492328913502,6.2438635757983e-05,0.0306116715271081,0.0304867942555922,493,Pho4
0.0672613081196202,0.0739578822157641,0.000137173120115911,0.07409505533588,0.0738207090956482,0,Cbf1
0.0612859988862063,0.0732419914130685,0.000136328084415974,0.0733783194974845,0.0731056633286525,1,Cbf1
0.0558415196564465,0.0725410896507145,0.000135204374974262,0.0726762940256888,0.0724058852757403,2,Cbf1
0.0508807129558451,0.0716071277720172,0.00013406481561321,0.0717411925876304,0.071473062956404,2,Cbf1
0.0463606106499689,0.0705052079282551,0.000132176033274888,0.07063738396153,0.0703730318949802,3,Cbf1
0.0422420617750228,0.0694043272085226,0.000132170813396466,0.0695364980219191,0.0692721563951262,4,Cbf1
0.0384893934309305,0.0681708809395522,0.000131833273531788,0.068302714213084,0.0680390476660205,5,Cbf1
0.03507010179974,0.0670283584032039,0.000132938544845112,0.067161296948049,0.0668954198583588,5,Cbf1
0.0319545706131019,0.0658996135306408,0.000133590641582264,0.0660332041722231,0.0657660228890586,7,Cbf1
0.029115814630321,0.0647962402582589,0.000134206350941356,0.0649304466092003,0.0646620339073175,9,Cbf1
0.0265292459051109,0.063847983091808,0.000135031947779589,0.0639830150395875,0.0637129511440284,9,Cbf1
0.0241724608165664,0.0630604884562501,0.000135772759664348,0.0631962612159144,0.0629247156965857,9,Cbf1
0.0220250460197163,0.0623918728476829,0.00013653088334917,0.062528403731032,0.0622553419643337,10,Cbf1
0.0200684016348952,0.0617401234815144,0.000136490713222317,0.0618766141947367,0.061603632768292,12,Cbf1
0.0182855801444837,0.0611335259586768,0.000137963373622928,0.0612714893322997,0.0609955625850539,13,Cbf1
0.0166611396016185,0.0605717413927907,0.000139301506322033,0.0607110428991127,0.0604324398864687,16,Cbf1
0.0151810098794356,0.0600407121351336,0.000139673997326937,0.0601803861324605,0.0599010381378066,19,Cbf1
0.013832370802363,0.0595642993700793,0.000139877004027672,0.0597041763741069,0.0594244223660516,23,Cbf1
0.0126035411038925,0.0591393939762989,0.000140336888616621,0.0592797308649155,0.0589990570876823,24,Cbf1
0.0114838772490376,0.0587645064349178,0.000140882391275641,0.0589053888261934,0.0586236240436421,27,Cbf1
0.010463681245125,0.058432750368986,0.000141288349213239,0.0585740387181992,0.0582914620197727,31,Cbf1
0.00953411664242207,0.0581189489729401,0.000141619507729103,0.0582605684806692,0.057977329465211,38,Cbf1
0.00868713199703585,0.0578396214177955,0.000141986667775482,0.057981608085571,0.05769763475002,45,Cbf1
0.00791539113315824,0.0575766797579128,0.000142028285433347,0.0577187080433462,0.0574346514724795,55,Cbf1
0.00721220960062056,0.0573296498882798,0.000142215596534154,0.0574718654848139,0.0571874342917456,62,Cbf1
0.00657149677738403,0.0570969755816523,0.000142452169973935,0.0572394277516262,0.0569545234116784,71,Cbf1
0.00598770311548528,0.0568852583245452,0.000142181997939488,0.0570274403224847,0.0567430763266057,74,Cbf1
0.00545577207350687,0.0567041270533002,0.000141870528877022,0.0568459975821772,0.0565622565244232,82,Cbf1
0.00497109631923444,0.0565368065165851,0.000141730853833409,0.0566785373704185,0.0563950756627517,93,Cbf1
0.00452947782314922,0.0563821138656929,0.000141172180440142,0.056523286046133,0.0562409416852528,102,Cbf1
0.00412709149710463,0.0562383024953406,0.000141096547381179,0.0563793990427218,0.0560972059479594,108,Cbf1
0.00376045206324265,0.0561113803579855,0.00014121422391632,0.0562525945819018,0.0559701661340692,110,Cbf1
0.00342638386618435,0.0559909500290154,0.00014129806781077,0.0561322480968261,0.0558496519612046,122,Cbf1
0.00312199336702218,0.0558722930434137,0.000141268340409146,0.0560135613838229,0.0557310247030046,131,Cbf1
0.00284464408087021,0.0557634556480402,0.000140994217671381,0.0559044498657116,0.0556224614303688,138,Cbf1
